ozmovies,wikidata,description
http://www.ozmovies.com.au/movie/diana--me,Q5271064,"Diana & Me (David Parker, 1997)"
http://www.ozmovies.com.au/movie/diaries-of-vaslav-nijinsky,Q7730099,"The Diaries of Vaslav Nijinsky (Paul Cox, 2001)"
http://www.ozmovies.com.au/movie/diggers,Q5275641,"Diggers (Francis William Thring, 1931)"
http://www.ozmovies.com.au/movie/diggers-in-blighty,Q5275649,"Diggers in Blighty (Pat Hanna/Raymond Longford, 1933)"
http://www.ozmovies.com.au/movie/dimboola,Q5277185,"Dimboola (John Duigan, 1979)"
http://www.ozmovies.com.au/movie/dingo,Q3028325,"Dingo (Rolf de Heer, 1991)"
http://www.ozmovies.com.au/movie/dirty-deeds,Q4151182,"Dirty Deeds (David Caesar, 2002)"
http://www.ozmovies.com.au/movie/dish,Q1410845,"The Dish (Rob Sitch, 2000)"
http://www.ozmovies.com.au/movie/distant-home,Q15039417,"The Distant Home (Robert Marchand, 1992)"
http://www.ozmovies.com.au/movie/doctors--nurses,Q5287568,"Doctors and Nurses (Maurice Murphy, 1981)"
http://www.ozmovies.com.au/movie/dogfood,,
http://www.ozmovies.com.au/movie/dogs-in-space,Q5288447,"Dogs in Space (Richard Lowenstein, 1987)"
http://www.ozmovies.com.au/movie/doing-time-for-patsy-cline,Q5288674,"Doing Time for Patsy Cline (Chris Kennedy, 1997)"
http://www.ozmovies.com.au/movie/don-quixote,Q5293358,"Don Quixote (Rudolf Nureyev, 1973)"
http://www.ozmovies.com.au/movie/dons-party,Q5291409,"Don's Party (Bruce Beresford, 1976)"
http://www.ozmovies.com.au/movie/dot-and-keeto,Q16918861,"Dot and Keeto (Yoram Gross, 1985)"
http://www.ozmovies.com.au/movie/dot-and-the-bunny,Q16919040,"Dot and the Bunny (Yoram Gross, 1983)"
http://www.ozmovies.com.au/movie/dot-and-the-kangaroo,Q16833576,"Dot and the Kangaroo (Yoram Gross, 1977)"
http://www.ozmovies.com.au/movie/dot-and-the-koala,Q9210334,"Dot and the Koala (Yoram Gross, 1984)"
http://www.ozmovies.com.au/movie/dot-and-the-smugglers,Q16919808,"Dot and the Smugglers (Yoram Gross, 1987)"
http://www.ozmovies.com.au/movie/dot-and-the-whale,Q5299400,"Dot and the Whale (Yoram Gross, 1986)"
http://www.ozmovies.com.au/movie/dot-goes-to-hollywood,Q5299390,"Dot Goes to Hollywood (Yoram Gross, 1987)"
http://www.ozmovies.com.au/movie/dot-in-space,Q15039815,"Dot in Space (Yoram Gross, 1994)"
http://www.ozmovies.com.au/movie/double-deal,Q5299711,"Double Deal (Brian Kavanagh, 1983)"
http://www.ozmovies.com.au/movie/down-the-wind,Q5303019,"Down the Wind (Scott Hicks, 1975)"
http://www.ozmovies.com.au/movie/dreaming,Q7730975,"The Dreaming (Mario Andreacchio, 1988)"
http://www.ozmovies.com.au/movie/duet-for-four,Q5312255,"Duet for Four (Tim Burstall, 1982)"
http://www.ozmovies.com.au/movie/dust-in-the-sun,Q5317009,"Dust in the Sun (Lee Robinson, 1958)"
http://www.ozmovies.com.au/movie/dust-off-the-wings,Q5316988,"Dust Off the Wings (Lee Rogers, 1997)"
http://www.ozmovies.com.au/movie/dusty,Q5317162,"Dusty (John Richardson, 1983)"
http://www.ozmovies.com.au/movie/early-frost,Q5326654,Early Frost (1982)
http://www.ozmovies.com.au/movie/earthling,Q1617093,"The Earthling (Peter Collinson, 1980)"
http://www.ozmovies.com.au/movie/ebbtide,Q5331560,"Ebbtide (Craig Lahiff, 1994)"
http://www.ozmovies.com.au/movie/efftee-entertainers,,
http://www.ozmovies.com.au/movie/efftees-australia,,
http://www.ozmovies.com.au/movie/eight-ball,Q5348951,"Eight Ball (Ray Argall, 1992)"
http://www.ozmovies.com.au/movie/eliza-fraser,Q5362135,"Eliza Fraser (Tim Burstall, 1976)"
http://www.ozmovies.com.au/movie/emerald-city,Q2451484,"Emerald City (Michael Jenkins, 1988)"
http://www.ozmovies.com.au/movie/emmas-war,Q5372694,"Emma's War (Clytie Jessop, 1986)"
http://www.ozmovies.com.au/movie/emoh-ruo,Q5373662,"Emoh Ruo (Denny Lawrence, 1985)"
http://www.ozmovies.com.au/movie/empty-beach,Q7731969,"The Empty Beach (Chris Thomson, 1985)"
http://www.ozmovies.com.au/movie/encounters,Q5375590,"Encounters (Murray Fahey, 1993)"
http://www.ozmovies.com.au/movie/end-play,Q5375802,"End Play (Tim Burstall, 1975)"
http://www.ozmovies.com.au/movie/envy,,
http://www.ozmovies.com.au/movie/epic,,
http://www.ozmovies.com.au/movie/epsilon,Q3415982,"Epsilon (Rolf de Heer, 1997)"
http://www.ozmovies.com.au/movie/erskineville-kings,Q4532625,"Erskineville Kings (Alan White, 1999)"
http://www.ozmovies.com.au/movie/eureka-stockade,Q5411239,"Eureka Stockade (Harry Watt, 1949)"
http://www.ozmovies.com.au/movie/everlasting-secret-family,Q7732680,"The Everlasting Secret Family (Michael Thornhill, 1988)"
http://www.ozmovies.com.au/movie/every-night-...-every-night,,
http://www.ozmovies.com.au/movie/evil-angels,Q1249239,"Evil Angels (Fred Schepisi, 1988)"
http://www.ozmovies.com.au/movie/exchange-lifeguards,Q4081065,"Exchange Lifeguards (Maurice Murphy, 1992)"
http://www.ozmovies.com.au/movie/excursion-to-the-bridge-of-friendship,Q123287294,"Excursion to the Bridge of Friendship (Christina Andreef, 1992)"
http://www.ozmovies.com.au/movie/exile,Q5420265,"Exile (Paul Cox, 1994)"
http://www.ozmovies.com.au/movie/fair-game-(1985),,
http://www.ozmovies.com.au/movie/fantasm,Q5434158,"Fantasm (Richard Franklin, 1976)"
http://www.ozmovies.com.au/movie/fantasm-comes-again,Q5434157,"Fantasm Comes Again (Colin Eggleston, 1977)"
http://www.ozmovies.com.au/movie/far-east,Q5434525,"Far East (John Duigan, 1982)"
http://www.ozmovies.com.au/movie/fast-talking,Q5436993,"Fast Talking (Ken Cameron, 1984)"
http://www.ozmovies.com.au/movie/fatal-bond,Q5437280,"Fatal Bond (Vince Monton, 1992)"
http://www.ozmovies.com.au/movie/father,Q5437557,"Father (John Power, 1990)"
http://www.ozmovies.com.au/movie/fatty-finn,Q1398280,"Fatty Finn (Maurice Murphy, 1980)"
http://www.ozmovies.com.au/movie/feathers,Q12120119,"Feathers (John Ruane, 1987)"
http://www.ozmovies.com.au/movie/feeling-sexy,Q5441388,"Feeling Sexy (Davida Allen, 1999)"
http://www.ozmovies.com.au/movie/felicity,Q5441780,"Felicity (John D. Lamond, 1979)"
http://www.ozmovies.com.au/movie/fellers,Q5442455,"Fellers (Arthur Higgins, 1930)"
http://www.ozmovies.com.au/movie/ferngully-the-last-rainforest,Q240852,"FernGully: The Last Rainforest (Bill Kroyer, 1992)"
http://www.ozmovies.com.au/movie/fever,,
http://www.ozmovies.com.au/movie/fighting-back,Q5447870,"Fighting Back (Michael Caulfield, 1982)"
http://www.ozmovies.com.au/movie/final-cut,Q5449370,"Final Cut (Ross Dimsey, 1980)"
http://www.ozmovies.com.au/movie/fire-in-the-stone,Q15039765,"The Fire In The Stone (Gary Conway, 1983)"
http://www.ozmovies.com.au/movie/firm-man,Q7734059,"The Firm Man (John Duigan, 1975)"
http://www.ozmovies.com.au/movie/first-contact,Q1419324,"First Contact (Bob Connolly, 1983)"
http://www.ozmovies.com.au/movie/first-kangaroos,Q7734144,"The First Kangaroos (Frank Cvitanovich, 1988)"
http://www.ozmovies.com.au/movie/fistful-of-flies,Q5455347,"Fistful of Flies (Monica Pellizzari, 1996)"
http://www.ozmovies.com.au/movie/fj-holden,Q7732966,"The FJ Holden (Michael Thornhill, 1977)"
http://www.ozmovies.com.au/movie/flashpoint,Q5457663,"Flashpoint (Brian Hannant, 1972)"
http://www.ozmovies.com.au/movie/flirting,Q127665,"Flirting (John Duigan, 1991)"
http://www.ozmovies.com.au/movie/floating-life,Q5459878,"Floating Life (Clara Law, 1996)"
http://www.ozmovies.com.au/movie/fluteman,Q5462968,"Fluteman (Peter Maxwell, 1982)"
http://www.ozmovies.com.au/movie/flying-doctor,Q7734577,"The Flying Doctor (Miles Mander, 1936)"
http://www.ozmovies.com.au/movie/for-love-alone,Q5466776,"For Love Alone (Stephen Wallace, 1986)"
http://www.ozmovies.com.au/movie/fortress,Q5472705,"Fortress (Arch Nicholson, 1986)"
http://www.ozmovies.com.au/movie/fortress-(1992),Q612373,"Fortress (Stuart Gordon, 1992)"
http://www.ozmovies.com.au/movie/forty-thousand-horsemen,Q5472997,"Forty Thousand Horsemen (Charles Chauvel, 1940)"
http://www.ozmovies.com.au/movie/four-jacks,Q5475255,"Four Jacks (Matthew George, 2001)"
http://www.ozmovies.com.au/movie/fourth-wish,Q7735084,"The Fourth Wish (Don Chaffey, 1976)"
http://www.ozmovies.com.au/movie/fran,Q8565317,"Fran (Glenda Hambly, 1985)"
http://www.ozmovies.com.au/movie/frauds,Q594030,"Frauds (Stephan Elliott, 1993)"
http://www.ozmovies.com.au/movie/freedom,,
http://www.ozmovies.com.au/movie/frenchmans-farm,Q5502707,"Frenchman's Farm (Ron Way, 1986)"
http://www.ozmovies.com.au/movie/fresh-air,,
http://www.ozmovies.com.au/movie/fringe-dwellers,Q7735329,"The Fringe Dwellers (Bruce Beresford, 1986)"
http://www.ozmovies.com.au/movie/frog-dreaming,Q5505183,"Frog Dreaming (Brian Trenchard-Smith, 1986)"
http://www.ozmovies.com.au/movie/from-palestine-to-bengazi-with-the-prime-minister,Q20022620,From Palestine to Bengazi with the Prime Minister (1941)
http://www.ozmovies.com.au/movie/funny-things-happen-down-under,Q1004363,"Funny Things Happen Down Under (Joe McCormick, 1965)"
http://www.ozmovies.com.au/movie/future-schlock,Q5510758,"Future Schlock (Barry Peak/Chris Kiely, 1984)"
http://www.ozmovies.com.au/movie/gallipoli,Q1077160,"Gallipoli (Peter Weir, 1981)"
http://www.ozmovies.com.au/movie/gap,,
http://www.ozmovies.com.au/movie/garage-days,Q3007933,"Garage Days (Alex Proyas, 2002)"
http://www.ozmovies.com.au/movie/garbo,Q5522034,"Garbo (Ron Cobb, 1992)"
http://www.ozmovies.com.au/movie/gate,,
http://www.ozmovies.com.au/movie/geese-mate-for-life!,,
http://www.ozmovies.com.au/movie/gentle-strangers,Q5533689,"Gentle Strangers (Cecil Holmes, 1972)"
http://www.ozmovies.com.au/movie/georgia,,
http://www.ozmovies.com.au/movie/get-away-get-away,Q5553798,"Get Away, Get Away (Murray Fahey, 1992)"
http://www.ozmovies.com.au/movie/getting-of-wisdom,Q7736240,"The Getting of Wisdom (Bruce Beresford, 1977)"
http://www.ozmovies.com.au/movie/ghosts-...-of-the-civil-dead,Q3104975,"Ghosts… of the Civil Dead (John Hillcoat, 1988)"
http://www.ozmovies.com.au/movie/gift,,
http://www.ozmovies.com.au/movie/ginger-meggs,Q4449268,"Ginger Meggs (Jonathan Dawson, 1982)"
http://www.ozmovies.com.au/movie/girls-own-story,Q4657008,"A Girl's Own Story (Jane Campion, 1984)"
http://www.ozmovies.com.au/movie/glass,,
http://www.ozmovies.com.au/movie/glenrowan-affair,Q7736766,"The Glenrowan Affair (Rupert Kathner, 1951)"
http://www.ozmovies.com.au/movie/goddess-of-1967,Q1138902,"The Goddess of 1967 (Clara Law, 2000)"
http://www.ozmovies.com.au/movie/going-down,Q5577776,"Going Down (Haydn Keenan, 1983)"
http://www.ozmovies.com.au/movie/going-sane,Q15039646,"Going Sane (Michael Robertson, 1987)"
http://www.ozmovies.com.au/movie/golden-braid,Q17005455,"Golden Braid (Paul Cox, 1990)"
http://www.ozmovies.com.au/movie/golden-cage,Q15039748,"The Golden Cage (Ayten Kuyululu Ürkmez, 1975)"
http://www.ozmovies.com.au/movie/gone-to-the-dogs,Q5581634,"Gone to the Dogs (Ken G. Hall, 1939)"
http://www.ozmovies.com.au/movie/good-afternoon,,
http://www.ozmovies.com.au/movie/good-woman-of-bangkok,Q123288707,The Good Woman of Bangkok (1991)
http://www.ozmovies.com.au/movie/goodbye-paradise,Q5583300,"Goodbye Paradise (Carl Schultz, 1983)"
http://www.ozmovies.com.au/movie/grandad-rudd,Q5595279,"Grandad Rudd (Ken G. Hall, 1935)"
http://www.ozmovies.com.au/movie/great-expectations-the-untold-story,Q5599125,"Great Expectations: The Untold Story (Tim Burstall, 1987)"
http://www.ozmovies.com.au/movie/great-gold-swindle,Q15039434,"The Great Gold Swindle (John Power, 1984)"
http://www.ozmovies.com.au/movie/great-macarthy,Q7737838,"The Great Macarthy (David Baker, 1975)"
http://www.ozmovies.com.au/movie/green-card,Q505135,"Green Card (Peter Weir, 1990)"
http://www.ozmovies.com.au/movie/greenkeeping,Q5604194,"Greenkeeping (David Caesar, 1992)"
http://www.ozmovies.com.au/movie/grendel-grendel-grendel,Q12124668,"Grendel Grendel Grendel (Alex Stitt, 1981)"
http://www.ozmovies.com.au/movie/grievous-bodily-harm,Q3415133,"Grievous Bodily Harm (Mark Joffe, 1988)"
http://www.ozmovies.com.au/movie/gross-misconduct,Q2515683,"Gross Misconduct (George T. Miller, 1993)"
http://www.ozmovies.com.au/movie/ground-zero,Q5610898,"Ground Zero (Bruce Myles/Michael Pattinson, 1987)"
http://www.ozmovies.com.au/movie/half-life,Q3416832,"Half Life: A Parable for the Nuclear Age (Dennis O'Rourke, 1985)"
http://www.ozmovies.com.au/movie/hammers-over-the-anvil,Q3545539,"Hammers Over the Anvil (Ann Turner, 1993)"
http://www.ozmovies.com.au/movie/harbour-beat,Q5654787,"Harbour Beat (David Elfick, 1990)"
http://www.ozmovies.com.au/movie/hard-knocks,Q15039771,"Hard Knocks (Don McLennan, 1980)"
http://www.ozmovies.com.au/movie/hard-knuckle,Q15039439,"Hard Knuckle (Lex Marinos, 1988)"
http://www.ozmovies.com.au/movie/hard-word,Q600253,"The Hard Word (Scott Roberts, 2002)"
http://www.ozmovies.com.au/movie/harlequin,Q3127478,"Harlequin (Simon Wincer, 1980)"
http://www.ozmovies.com.au/movie/harmony-row,Q5659602,"Harmony Row (Francis William Thring/Raymond Longford, 1933)"
http://www.ozmovies.com.au/movie/harris-down-under,,
http://www.ozmovies.com.au/movie/harvest-gold,Q5676779,"Harvest Gold (Mervyn Murphy, 1945)"
http://www.ozmovies.com.au/movie/harvest-of-hate,Q5676886,"Harvest of Hate (Michael Thornhill, 1978)"
http://www.ozmovies.com.au/movie/haydn-keenans-pandemonium,Q7130566,"Pandemonium (Haydn Keenan, 1987)"
http://www.ozmovies.com.au/movie/hayseeds,Q7739084,"The Hayseeds (Beaumont Smith/Raymond Longford, 1933)"
http://www.ozmovies.com.au/movie/he-died-with-a-felafel-in-his-hand,Q3415693,"He Died with a Felafel in His Hand (Richard Lowenstein, 2001)"
http://www.ozmovies.com.au/movie/head-on,Q2700562,"Head On (Ana Kokkinos, 1998)"
http://www.ozmovies.com.au/movie/heartbreak-kid,Q7739216,"The Heartbreak Kid (Michael Jenkins, 1993)"
http://www.ozmovies.com.au/movie/heatwave,Q4178172,"Heatwave (Phillip Noyce, 1982)"
http://www.ozmovies.com.au/movie/heaven-tonight,Q5694749,"Heaven Tonight (Pino Amenta, 1990)"
http://www.ozmovies.com.au/movie/heavens-burning,Q1516308,"Heaven's Burning (Craig Lahiff, 1997)"
http://www.ozmovies.com.au/movie/hercules-returns,Q4114646,"Hercules Returns (David Parker, 1993)"
http://www.ozmovies.com.au/movie/heritage,,
http://www.ozmovies.com.au/movie/high-country,Q15039772,"High Country (Bill Hughes, 1983)"
http://www.ozmovies.com.au/movie/high-rolling,Q5756374,"High Rolling (Igor Auzins, 1977)"
http://www.ozmovies.com.au/movie/hightide,,
http://www.ozmovies.com.au/movie/his-royal-highness,Q5772181,"His Royal Highness (Francis William Thring, 1932)"
http://www.ozmovies.com.au/movie/holidays-on-the-river-yarra,Q5880596,"Holidays on the River Yarra (Leo Berkeley, 1991)"
http://www.ozmovies.com.au/movie/holy-smoke,Q143835,"Holy Smoke! (Jane Campion, 1999)"
http://www.ozmovies.com.au/movie/homesdale,Q3417503,"Homesdale (Peter Weir, 1971)"
http://www.ozmovies.com.au/movie/hoodwink,Q5897662,"Hoodwink (Claude Whatham, 1981)"
http://www.ozmovies.com.au/movie/horses,,
http://www.ozmovies.com.au/movie/hospitals-dont-burn-down!,Q1237158,"Hospitals Don't Burn Down (Brian Trenchard-Smith, 1978)"
http://www.ozmovies.com.au/movie/hostage-the-christine-maresch-story,Q5909290,"Hostage (Frank Shields, 1983)"
http://www.ozmovies.com.au/movie/hotel-de-love,Q5912157,"Hotel de Love (Craig Rosenberg, 1996)"
http://www.ozmovies.com.au/movie/hotel-sorrento,Q12124874,"Hotel Sorrento (Richard Franklin, 1995)"
http://www.ozmovies.com.au/movie/houseboat-horror,Q5915734,"Houseboat Horror (Kendal Flanagan, 1989)"
http://www.ozmovies.com.au/movie/humpty-dumpty-man,Q7740937,"The Humpty Dumpy Man (P. J. Hogan, 1986)"
http://www.ozmovies.com.au/movie/hungry-heart,Q5943489,"Hungry Heart (Luigi Acquisto, 1987)"
http://www.ozmovies.com.au/movie/hunting,Q4085738,"Hunting (Frank Howson, 1991)"
http://www.ozmovies.com.au/movie/hurricane-smith,Q12124942,"Hurricane Smith (Colin Budds, 1992)"
http://www.ozmovies.com.au/movie/i-live-with-me-dad,Q15039450,I Live with Me Dad (1985)
http://www.ozmovies.com.au/movie/i-own-the-racecourse,Q5978707,"I Own the Racecourse (Stephen Ramsey, 1985)"
http://www.ozmovies.com.au/movie/idiot-box,Q5988951,"Idiot Box (David Caesar, 1996)"
http://www.ozmovies.com.au/movie/ileksen,Q123288472,Ileksen (1978)
http://www.ozmovies.com.au/movie/illuminations,Q6000394,"Illuminations (Paul Cox, 1976)"
http://www.ozmovies.com.au/movie/in-a-savage-land,Q12125031,"In a Savage Land (Bill Bennett, 1999)"
http://www.ozmovies.com.au/movie/in-search-of-anna,Q6010646,"In Search of Anna (Esben Storm, 1979)"
http://www.ozmovies.com.au/movie/in-the-wake-of-the-bounty,Q3149754,"In the Wake of the Bounty (Charles Chauvel, 1933)"
http://www.ozmovies.com.au/movie/in-the-winter-dark,Q19874556,"In the Winter Dark (James Bogle, 1998)"
http://www.ozmovies.com.au/movie/in-too-deep,Q6011007,"In Too Deep (John Tatoulis, 1989)"
http://www.ozmovies.com.au/movie/incident-at-ravens-gate,Q6014570,"Incident at Raven's Gate (Rolf de Heer, 1988)"
http://www.ozmovies.com.au/movie/indecent-obsession,Q4750061,"An Indecent Obsession (Lex Marinos, 1985)"
http://www.ozmovies.com.au/movie/indonesia-calling,Q6025825,"Indonesia Calling (Joris Ivens, 1946)"
http://www.ozmovies.com.au/movie/initiation,Q6034195,"Initiation (Michael Pearce, 1987)"
http://www.ozmovies.com.au/movie/inn-of-the-damned,Q6035127,"Inn of the Damned (Terry Bourke, 1975)"
http://www.ozmovies.com.au/movie/innocence,Q6035913,"Innocence (Paul Cox, 2000)"
http://www.ozmovies.com.au/movie/innocent-prey,Q15039669,"Innocent Prey (Colin Eggleston, 1988)"
http://www.ozmovies.com.au/movie/inside-looking-out,Q12125099,"Inside Looking Out (Paul Cox, 1977)"
http://www.ozmovies.com.au/movie/inspector-morse-in-australia,,
http://www.ozmovies.com.au/movie/interview,Q7742367,"The Interview (Craig Monahan, 1998)"
http://www.ozmovies.com.au/movie/into-the-straight,Q6058168,"Into the Straight (T.O. McCreadie, 1949)"
http://www.ozmovies.com.au/movie/intruders,Q7742391,"The Intruders (Lee Robinson, 1969)"
http://www.ozmovies.com.au/movie/irishman,Q7742576,"The Irishman (Donald Crombie, 1978)"
http://www.ozmovies.com.au/movie/isabelle-eberhardt,Q6078224,"Isabelle Eberhardt (Ian Pringle, 1991)"
http://www.ozmovies.com.au/movie/island,,
http://www.ozmovies.com.au/movie/island-of-dr-moreau,Q1091580,"The Island of Dr. Moreau (John Frankenheimer/Richard Stanley, 1996)"
http://www.ozmovies.com.au/movie/isle-of-intrigue,Q6083930,"Isle of Intrigue (A.R. Harwood, 1931)"
http://www.ozmovies.com.au/movie/it-isnt-done,Q6091875,"It Isn't Done (Ken G. Hall, 1937)"
http://www.ozmovies.com.au/movie/it-takes-all-kinds,Q16997392,"It Takes All Kinds (Eddie Davis, 1969)"
http://www.ozmovies.com.au/movie/jack-and-jill-a-postscript,Q12125196,"Jack and Jill: A Postscript (Phillip Adams, 1970)"
http://www.ozmovies.com.au/movie/jedda,Q3176350,"Jedda (Charles Chauvel, 1955)"
http://www.ozmovies.com.au/movie/jenny-kissed-me,Q6179367,"Jenny Kissed Me (Brian Trenchard-Smith, 1986)"
http://www.ozmovies.com.au/movie/jigsaw,Q6192371,"Jigsaw (Marc Gracie, 1989)"
http://www.ozmovies.com.au/movie/jilted,Q6193220,"Jilted (Bill Bennett, 1987)"
http://www.ozmovies.com.au/movie/jindalee-lady,Q15039817,"Jindalee Lady (Brian Syron, 1990)"
http://www.ozmovies.com.au/movie/joe-leahys-neighbours,Q123288609,"Joe Leahy's Neighbours (Robin Anderson, 1989)"
http://www.ozmovies.com.au/movie/joey,Q11310825,"Joey (Ian Barry, 1997)"
http://www.ozmovies.com.au/movie/johs-jury,Q15039470,"Joh's Jury (Ken Cameron, 1993)"
http://www.ozmovies.com.au/movie/journalist,Q7743642,"The Journalist (Michael Thornhill, 1979)"
http://www.ozmovies.com.au/movie/journey-among-women,Q6296331,"Journey Among Women (Tom Cowan, 1977)"
http://www.ozmovies.com.au/movie/journey-of-a-nation,Q123306610,"Journey Of A Nation (John Heyer, 1947)"
http://www.ozmovies.com.au/movie/journey-out-of-darkness,Q12125270,"Journey Out of Darkness (James Trainor, 1967)"
http://www.ozmovies.com.au/movie/julie-julie-...,,
http://www.ozmovies.com.au/movie/kadaicha,Q6344965,"Kadaicha (James Bogle, 1988)"
http://www.ozmovies.com.au/movie/kangaroo,Q3210106,"Kangaroo (Lewis Milestone, 1952)"
http://www.ozmovies.com.au/movie/kangaroo-(1986),Q6362508,"Kangaroo (Tim Burstall, 1987)"
http://www.ozmovies.com.au/movie/kangaroo-kid,Q7743960,"The Kangaroo Kid (Lesley Selander, 1950)"
http://www.ozmovies.com.au/movie/kapyong,Q19874848,"Kapyong (Dennis K. Smith, 2011)"
http://www.ozmovies.com.au/movie/kick,Q6404196,"Kick (Lynda Heys, 1999)"
http://www.ozmovies.com.au/movie/kid-stakes,Q7744230,"The Kid Stakes (Tal Ordell, 1927)"
http://www.ozmovies.com.au/movie/killing-of-angel-street,Q7744384,"The Killing of Angel Street (Donald Crombie, 1981)"
http://www.ozmovies.com.au/movie/king-of-the-coral-sea,Q6412332,"King of the Coral Sea (Lee Robinson, 1954)"
http://www.ozmovies.com.au/movie/kink-in-the-picasso,Q4657584,"A Kink in the Picasso (Marc Gracie, 1990)"
http://www.ozmovies.com.au/movie/kiss-or-kill,Q1743756,"Kiss or Kill (Bill Bennett, 1997)"
http://www.ozmovies.com.au/movie/kitty-and-the-bagman,Q12125409,"Kitty and the Bagman (Donald Crombie, 1983)"
http://www.ozmovies.com.au/movie/kokoda-crescent,Q6426728,"Kokoda Crescent (Ted Robinson, 1988)"
http://www.ozmovies.com.au/movie/kokoda-front-line!,Q1146446,"Kokoda Front Line! (Ken G. Hall, 1942)"
http://www.ozmovies.com.au/movie/kostas,Q6433483,"Kostas (Paul Cox, 1979)"
http://www.ozmovies.com.au/movie/koya-no-toseinin,Q17036710,"The Drifting Avenger (Junya Satō, 1968)"
http://www.ozmovies.com.au/movie/kung-fu-killers,Q6444464,"Kung Fu Killers (Brian Trenchard-Smith, 1974)"
http://www.ozmovies.com.au/movie/la-spagnola,Q6465315,"La Spagnola (Steve Jacobs, 2001)"
http://www.ozmovies.com.au/movie/ladies-please,Q130265403,Ladies Please
http://www.ozmovies.com.au/movie/lady-stay-dead,Q6470563,"Lady Stay Dead (Terry Bourke, 1981)"
http://www.ozmovies.com.au/movie/land-mines-a-love-story,Q122585756,Land Mines - A Love Story
http://www.ozmovies.com.au/movie/lantana,Q690463,"Lantana (Ray Lawrence, 2001)"
http://www.ozmovies.com.au/movie/last-bullet,Q4373873,"The Last Bullet (Michael Pattinson, 1995)"
http://www.ozmovies.com.au/movie/last-days-of-chez-nous,Q4315248,"The Last Days of Chez Nous (Gillian Armstrong, 1992)"
http://www.ozmovies.com.au/movie/last-of-the-knucklemen,Q7746251,"The Last of the Knucklemen (Tim Burstall, 1979)"
http://www.ozmovies.com.au/movie/last-wave,Q1218841,"The Last Wave (Peter Weir, 1977)"
http://www.ozmovies.com.au/movie/les-patterson-saves-the-world,Q1961374,"Les Patterson Saves the World (George T. Miller, 1987)"
http://www.ozmovies.com.au/movie/let-george-do-it,Q6532660,"Let George Do It (Ken G. Hall, 1938)"
http://www.ozmovies.com.au/movie/let-the-balloon-go,Q6533067,"Let the Balloon Go (Oliver Howes, 1976)"
http://www.ozmovies.com.au/movie/lets-get-skase,Q6532367,"Let's Get Skase (Matthew George, 2001)"
http://www.ozmovies.com.au/movie/lets-go,,
http://www.ozmovies.com.au/movie/libido,Q6542266,"Libido (Fred Schepisi/John B. Murray/Tim Burstall, 1973)"
http://www.ozmovies.com.au/movie/lighthorsemen,Q2682416,"The Lighthorsemen (Simon Wincer, 1987)"
http://www.ozmovies.com.au/movie/lightning-jack,Q1511623,"Lightning Jack (Simon Wincer, 1994)"
http://www.ozmovies.com.au/movie/lilians-story,,
http://www.ozmovies.com.au/movie/listen-to-the-lion,Q6646428,"Listen to the Lion (Henri Safran, 1977)"
